Year,Month,PASSENGERS
2002,10,"48,054,917"
2002,11,"44,850,246"
2002,12,"49,684,353"
2003,1,"43,032,450"
2003,2,"41,166,780"
2003,3,"49,992,700"
2003,4,"47,033,260"
2003,5,"49,152,352"
2003,6,"52,209,516"
2003,7,"55,810,773"
2003,8,"53,920,973"
2003,9,"44,213,408"
2003,10,"49,944,935"
2003,11,"47,059,495"
2003,12,"49,757,124"
2004,1,"43,815,481"
2004,2,"45,306,644"
2004,3,"54,147,227"
2004,4,"53,253,194"
2004,5,"53,030,873"
2004,6,"56,959,142"
2004,7,"59,614,287"
2004,8,"57,380,873"
2004,9,"47,671,785"
2004,10,"54,167,489"
2004,11,"51,782,564"
2004,12,"52,640,057"
2005,1,"47,977,657"
2005,2,"47,074,882"
2005,3,"58,838,975"
2005,4,"54,908,859"
2005,5,"57,323,876"
2005,6,"59,724,061"
2005,7,"62,396,446"
2005,8,"59,110,633"
2005,9,"50,600,325"
2005,10,"53,738,093"
2005,11,"52,766,404"
2005,12,"52,801,276"
2006,1,"48,886,043"
2006,2,"47,348,142"
2006,3,"58,286,011"
2006,4,"55,828,555"
2006,5,"57,145,193"
2006,6,"59,297,121"
2006,7,"60,838,606"
2006,8,"58,303,233"
2006,9,"49,949,551"
2006,10,"55,088,986"
2006,11,"53,852,209"
2006,12,"53,538,970"
2007,1,"50,022,168"
2007,2,"47,766,421"
2007,3,"59,244,232"
2007,4,"57,398,267"
2007,5,"59,285,571"
2007,6,"61,493,934"
2007,7,"63,457,403"
2007,8,"62,660,179"
2007,9,"52,310,402"
2007,10,"57,208,618"
2007,11,"55,047,116"
2007,12,"53,291,139"
2008,1,"50,245,100"
2008,2,"50,118,363"
2008,3,"59,213,077"
2008,4,"55,611,053"
2008,5,"58,047,400"
2008,6,"59,559,171"
2008,7,"61,401,480"
2008,8,"58,966,473"
2008,9,"47,680,101"
2008,10,"52,956,023"
2008,11,"47,658,141"
2008,12,"50,253,800"
2009,1,"44,825,056"
2009,2,"43,680,328"
2009,3,"53,534,891"
2009,4,"52,247,781"
2009,5,"52,951,246"
2009,6,"55,898,027"
2009,7,"59,468,957"
2009,8,"56,568,180"
2009,9,"48,235,025"
2009,10,"52,279,405"
2009,11,"48,584,832"
2009,12,"49,793,527"
2010,1,"45,501,620"
2010,2,"42,440,614"
2010,3,"54,424,077"
2010,4,"52,498,074"
2010,5,"53,842,422"
2010,6,"56,689,853"
2010,7,"59,142,493"
2010,8,"57,370,748"
2010,9,"50,304,708"
2010,10,"54,826,050"
2010,11,"51,420,519"
2010,12,"51,076,415"
2011,1,"46,305,000"
2011,2,"43,657,818"
2011,3,"55,649,428"
2011,4,"52,858,479"
2011,5,"55,982,234"
2011,6,"57,778,699"
2011,7,"60,310,568"
2011,8,"57,403,835"
2011,9,"50,982,170"
2011,10,"54,124,363"
2011,11,"51,660,083"
2011,12,"51,534,990"
2012,1,"47,080,840"
2012,2,"46,405,385"
2012,3,"56,200,391"
2012,4,"53,691,570"
2012,5,"55,749,349"
2012,6,"57,903,293"
2012,7,"59,688,267"
2012,8,"58,646,304"
2012,9,"50,134,504"
2012,10,"53,779,646"
2012,11,"51,844,482"
2012,12,"51,165,451"
2013,1,"47,816,859"
2013,2,"45,740,158"
2013,3,"56,564,538"
2013,4,"53,228,575"
2013,5,"56,562,929"
2013,6,"57,990,789"
2013,7,"59,310,478"
2013,8,"58,115,405"
2013,9,"50,766,098"
2013,10,"54,706,246"
2013,11,"50,542,543"
2013,12,"54,332,936"
2014,1,"47,957,371"
2014,2,"45,513,184"
2014,3,"57,762,170"
2014,4,"55,247,482"
2014,5,"57,888,637"
2014,6,"59,262,095"
2014,7,"61,757,698"
2014,8,"59,758,814"
2014,9,"52,529,472"
2014,10,"57,084,923"
2014,11,"52,578,037"
2014,12,"55,487,072"
2015,1,"49,727,992"
2015,2,"47,164,898"
2015,3,"59,557,626"
2015,4,"57,698,342"
2015,5,"60,252,607"
2015,6,"61,811,276"
2015,7,"65,129,348"
2015,8,"62,770,806"
2015,9,"55,989,599"
2015,10,"60,892,617"
2015,11,"57,150,828"
2015,12,"57,870,955"
2016,1,"52,474,245"
2016,2,"51,111,616"
2016,3,"61,593,610"
2016,4,"58,894,278"
2016,5,"62,752,723"
2016,6,"64,757,943"
2016,7,"66,135,126"
2016,8,"63,498,615"
2016,9,"58,620,581"
2016,10,"61,709,421"
2016,11,"59,269,837"
2016,12,"59,178,833"
2017,1,"54,109,329"
2017,2,"51,078,172"
2017,3,"63,963,808"
2017,4,"61,099,004"
2017,5,"64,442,977"
2017,6,"66,746,463"
2017,7,"68,575,481"
2017,8,"66,664,019"
2017,9,"57,144,508"
2017,10,"64,625,405"
2017,11,"61,911,765"
2017,12,"61,374,167"
2018,1,"55,831,159"
2018,2,"54,078,219"
